fips,state,county,total_population,nonwhite_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesscollege_pct
17063,Illinois,Grundy,50338,12.5650601930947,49.9920537168739,39.7830664706583,12.8570860979777,67162,7.45289495766267,78.2267318958749
17065,Illinois,Hamilton,8251,0.981699187977213,50.963519573385,34.58974669737,20.1793721973094,45076,4.2627345844504,84.2704380820973
17067,Illinois,Hancock,18633,3.39183169645253,50.2656577040734,32.7376160575323,22.5782214350883,50077,6.78991966545615,80.4007747318236
17069,Illinois,Hardin,4173,7.2130361849988,49.0534387730649,27.9175653007429,17.8049364965253,39926,18.0641530669668,88.6786401539448
17071,Illinois,Henderson,6966,3.48837209302326,50.947459086994,30.7349985644559,23.3132357163365,46216,7.50843644544432,86.730319563523
17073,Illinois,Henry,49681,9.05376300799098,50.2989070268312,35.5326986171776,18.5402870312594,54757,5.27176802584761,78.7294021912872
17075,Illinois,Iroquois,28814,9.17262441868536,51.2667453321302,34.6220587214548,20.5351565211356,47823,6.71793079342887,85.3817320970606
17077,Illinois,Jackson,59188,25.0202743799419,49.8496316820977,49.10116915591,13.1141447590728,33845,9.02255639097744,64.0947440428685
17079,Illinois,Jasper,9592,2.60633861551293,50.208507089241,35.3211009174312,17.9003336113428,56305,4.03771264603402,81.7353643966547
17081,Illinois,Jefferson,38523,13.9059782467617,48.8305687511357,36.4483555278665,17.7530306570101,43467,9.39657591916924,83.5702294348069
17083,Illinois,Jersey,22441,3.79662225391026,50.9513836281806,36.4867875763112,17.5972550242859,52738,7.8537821208831,81.6196954972465
17085,Illinois,Jo Daviess,22186,5.03019922473632,49.6754710177589,30.9068782114847,24.4072838727125,54702,4.88978306508048,75.8982863460475
17087,Illinois,Johnson,12866,14.0136794652573,43.0903155603917,33.8799937820612,19.026892585108,44179,8.85438522870331,83.3315502300203
17089,Illinois,Kane,526615,42.0166535324668,50.2686022995927,41.8368257645528,11.7381768464628,71602,6.89197953448152,67.8958598565447
17091,Illinois,Kankakee,111493,27.6734862278349,50.8955719193133,40.6429103172396,14.9892818383217,54697,8.42453364515009,81.0421468554495
17093,Illinois,Kendall,121452,28.0448242927247,50.5541283799361,43.2104864473208,8.77548331851266,85736,5.32038776220075,65.7281808622503
