gm,gemeente,voorzieningen_fysiek,sociale_cohesie,cijfer_leefbaarheid,overlast_sociaal,cijfer_veiligheid,voelt_discriminatie,slachtoffers_criminaliteit,slachtoffers_geweld
GM0363,Amsterdam,6.7,5.9,7.4,25.2,7.1,19.8,31,8.5
GM0200,Apeldoorn,7.1,6.6,7.7,12.2,7.6,13.6,17.9,6.8
GM0202,Arnhem,6.7,6.2,7.5,19.8,7.2,15.6,27.2,8.5
GM0758,Breda,6.7,6.4,7.7,15.9,7.5,14,21.8,7.6
GM0503,Delft,6.9,6.1,7.6,17,7.7,18.5,25.4,10.6
GM0150,Deventer,6.6,6.7,7.7,20,7.6,11.6,18.8,8.4
GM0505,Dordrecht,6.6,6.4,7.6,20.2,7.3,19.1,25.4,7.9
GM0228,Ede,6.7,6.9,7.8,13.1,7.6,13.9,20.7,7
GM0772,Eindhoven,6.9,6.1,7.6,18.8,7.3,15.7,23.4,10.6
GM0114,Emmen,6.4,6.6,7.6,11.3,7.5,8.7,14.5,5.1
GM0153,Enschede,6.7,6.1,7.4,19.4,7.1,15.4,27.6,10.7
GM0513,Gouda,6.6,6.5,7.5,21.3,7.2,15.6,22.1,10.1
GM0518,'s-Gravenhage,6.7,5.8,7.2,22.6,7,19.7,27.5,7.7
GM0014,Groningen,6.9,6.2,7.6,17.9,7.5,13.5,25.3,7.8
GM0392,Haarlem,6.5,6.4,7.6,16.2,7.4,14,23.5,6.2
GM0394,Haarlemmermeer,6.7,6.6,7.7,13,7.6,11.1,20.6,6.8
GM0917,Heerlen,6.2,6.1,7.2,27.1,7.1,17.2,23.5,10.8
GM0794,Helmond,6.7,6.2,7.5,21,7.2,15.3,19.2,5.7
GM0164,Hengelo,6.8,6.5,7.7,12.8,7.7,14.3,22.7,9.2
GM0796,'s-Hertogenbosch,6.9,6.6,7.8,17.2,7.5,11.4,22.4,8.1
GM0402,Hilversum,6.8,6.4,7.6,15,7.6,14,21.1,6.6
GM1963,Hoeksche Waard,6.5,7,8,8,8,10,13.2,3.8
GM0405,Hoorn,6.7,6.4,7.7,19.3,7.5,13.7,20.9,9.2
GM0080,Leeuwarden,6.6,6.4,7.6,16.2,7.6,13.3,24.1,10.3
GM0546,Leiden,6.9,6.2,7.6,19.1,7.5,15.4,23.1,7.4
GM1916,Leidschendam-Voorburg,7.1,6.5,7.8,12.2,7.6,14.6,19.1,5.9
GM0995,Lelystad,6.4,6.3,7.7,15,7.7,19.9,21.9,11.7
GM0935,Maastricht,6.3,6.1,7.5,19.5,7.3,15,24.1,7.8
GM1948,Meierijstad,6.8,7,7.9,8,7.9,13.8,15.2,6
GM0268,Nijmegen,6.9,6.3,7.6,17.3,7.4,15.4,22.3,8.6
GM1930,Nissewaard,6.3,6.2,7.4,15.4,7.3,18.7,25.9,8.9
GM0828,Oss,7,6.5,7.8,12.7,7.6,14.1,20.3,8.8
GM0439,Purmerend,6.6,6.3,7.6,17.3,7.6,21,18.6,4.3
GM1674,Roosendaal,6.4,6.3,7.4,23.5,7.1,14.2,22.3,9.6
GM0599,Rotterdam,6.3,5.8,7.1,27.5,6.7,20.8,29.2,8.2
GM0606,Schiedam,6.2,5.7,7,26.3,6.8,20.9,28,7.8
GM1883,Sittard-Geleen,6,6.3,7.5,17.1,7.2,14.7,19.4,7.7
GM1900,Súdwest-Fryslân,6.6,7,7.9,13,8,12.2,13.9,6.4
GM0855,Tilburg,6.7,6.2,7.5,21.2,7.3,18,25.2,9.7
GM0344,Utrecht,6.9,6.2,7.6,23.9,7.2,16.1,31.2,10.1
GM0983,Venlo,6.3,6.4,7.5,18.5,7.2,13.5,20.7,5.8
GM0622,Vlaardingen,6.4,6,7.2,24.2,6.9,16.2,25.3,7.1
GM1783,Westland,6.4,6.9,7.8,9.8,7.7,13.6,16.9,6.5
GM0479,Zaanstad,6.3,6.3,7.3,17.2,7.2,15.8,23.1,8
GM0637,Zoetermeer,6.7,6.3,7.6,17.9,7.4,19.2,21.6,7.5
GM0193,Zwolle,7.1,6.6,7.8,15.2,7.6,13.9,21.2,8.6
