gm,gemeente,v01_pop,v57_density,v43_nl,v122_disposable,v132_income,v142_wealth,v153_uitkering,c_65plus
GM0263,Maasdriel,25452,385,85.5,54.4,35.9,163.2,1310,19.2
GM1641,Maasgouw,23947,524,85.1,50.1,34.6,176.7,2020,27.200000000000003
GM1991,Maashorst,NA,NA,NA,NA,NA,NA,NA,NA
GM0556,Maassluis,33567,3960,71,47.3,32.7,65,2520,23.1
GM0935,Maastricht,120227,2147,66.9,42.6,31.3,33.8,11950,22.099999999999998
GM0420,Medemblik,45165,372,86.4,51.7,34.5,166.6,3150,21.700000000000003
GM0938,Meerssen,18661,692,86.8,52.3,35.9,178.1,1380,27.3
GM1948,Meierijstad,81647,444,85.1,53.6,35.7,176.2,5130,21.1
GM0119,Meppel,34386,619,87.7,46.7,32.4,73.3,2690,20.3
GM0687,Middelburg,48964,1011,80.3,46.2,32.7,85.6,3770,22.799999999999997
GM1842,Midden-Delfland,19414,411,86.8,62.8,41.2,274.2,790,19.5
GM1731,Midden-Drenthe,33381,98,92.7,49.4,33.5,127.8,2230,24.4
GM1952,Midden-Groningen,60726,217,84.9,43,30,59.6,6300,22.8
GM1709,Moerdijk,37185,234,87.3,50.8,34.5,116,2310,22.1
GM1978,Molenlanden,44130,243,92.6,59.2,37.6,187.6,1780,19.3
GM1955,Montferland,36031,341,87.5,48.4,32.6,111.8,2740,24.1
GM0335,Montfoort,13896,370,89.2,58.3,38.2,223.5,560,19.9
GM0944,Mook en Middelaar,7909,455,85.7,55.4,38.1,219,430,27.299999999999997
GM1740,Neder-Betuwe,24648,411,91,53.6,33.7,126.5,1150,17.3
GM0946,Nederweert,17171,172,90,53.8,36,211.3,1040,23.9
GM0356,Nieuwegein,63866,2717,71.4,47.5,33.2,96,5150,20.599999999999998
GM0569,Nieuwkoop,29151,373,88.2,58.4,38.8,213,1540,20.7
GM0267,Nijkerk,43600,629,87.7,55.4,36.2,195.3,2370,19.1
GM0268,Nijmegen,177359,3341,73.4,42.8,31.3,28.4,17420,16.3
GM1930,Nissewaard,85440,1161,73.9,47.3,32.7,61.7,7040,20.4
GM1970,Noardeast-Fryslân,45481,120,94,44.5,30.2,95,3370,21.599999999999998
GM1695,Noord-Beveland,7581,88,86.4,47.3,34,134.1,490,28.799999999999997
GM1699,Noordenveld,31214,157,92.2,50.1,34.4,172.2,1940,27.7
GM0171,Noordoostpolder,47583,104,83.5,49.1,32.9,87.9,3160,18.2
GM0575,Noordwijk,44062,755,82.1,56.2,38.7,179.3,2770,22.4
GM0820,"Nuenen, Gerwen en Nederwetten",23702,703,86.2,58.7,39.5,259.3,1120,25.9
GM0302,Nunspeet,28021,218,92.7,52.5,34.2,164.3,1660,20.8
GM0579,Oegstgeest,25064,3430,74.3,67.2,45,298.8,1200,20.4
GM0823,Oirschot,18842,185,91.4,58.4,38.5,297.3,890,22.1
GM0824,Oisterwijk,32373,404,88.6,58.2,39.2,218.5,1750,24.5
GM1895,Oldambt,38277,169,88.6,41.1,29,63.2,4290,25.200000000000003
GM0269,Oldebroek,23760,243,93.7,51.4,33.1,185.3,1330,19.4
GM0173,Oldenzaal,31701,1471,84.3,48.1,32.8,98.5,2260,23.799999999999997
GM1773,Olst-Wijhe,18361,161,91.5,52.2,34.6,162.2,1220,22.1
GM0175,Ommen,18295,102,91.6,51.4,34.4,171.3,1130,22.9
GM1586,Oost Gelre,29574,269,91.7,51.7,34.6,148.1,1630,22.8
GM0826,Oosterhout,56206,786,79,49.7,34.1,103.5,3940,22.6
GM0085,Ooststellingwerf,25464,114,92.7,45.3,31.2,121.7,2150,24.6
GM0431,Oostzaan,9689,841,85.2,56.8,37.2,270.7,540,21.1
GM0432,Opmeer,12009,289,90.4,52.8,35,182.6,650,21.700000000000003
GM0086,Opsterland,29812,133,93.5,48.7,32.8,152.1,2040,22
GM0828,Oss,92526,567,80,49.1,33.3,97.2,7910,20.3
GM1509,Oude IJsselstreek,39346,289,86.4,47.1,31.8,109.7,2900,24.299999999999997
GM0437,Ouder-Amstel,14125,587,70.9,61.8,41.7,234,770,21.200000000000003
GM0589,Oudewater,10138,261,90.9,57.3,37.8,227.5,440,21.4
GM1734,Overbetuwe,48214,442,87.9,53.9,35.5,138.8,2860,19.8
GM0590,Papendrecht,32171,3418,80.7,50.1,34.2,110.9,2010,22.7
GM1894,Peel en Maas,43660,274,88.3,51.4,34.1,186.1,2570,23
GM0765,Pekela,12176,248,91.1,40.3,28,40.1,1490,23.5
GM1926,Pijnacker-Nootdorp,55674,1501,77.6,62.3,40,213,2680,15.2
GM0439,Purmerend,81683,3528,71.6,47.4,32.6,110.1,7480,20.5
GM0273,Putten,24365,286,92,56.1,36.6,224.2,1160,21.200000000000003
GM0177,Raalte,37911,222,93.1,51.2,34.1,185.6,2180,22.599999999999998
GM0703,Reimerswaal,22896,225,84.9,50.5,33.1,102.1,1110,17.4
GM0274,Renkum,31417,684,84.2,53.7,37.7,154.3,2350,28.4
GM0339,Renswoude,5556,302,91.6,NA,NA,218.1,170,15
GM1667,Reusel-De Mierden,13127,169,91.1,53.6,35.4,272.5,650,20.9
GM0275,Rheden,43525,532,83,46,32.7,66.2,3860,26.4
GM0340,Rhenen,20203,480,87.7,54.4,36,164.9,1220,21.6
GM0597,Ridderkerk,46671,1968,78.9,47.8,32.9,80.9,3040,24.5
GM1742,Rijssen-Holten,38204,406,91.7,55.9,35.9,148.8,2020,19.1
GM0603,Rijswijk,55220,3956,62.3,46.9,33.6,65.9,4270,21.5
GM1669,Roerdalen,20580,233,82.3,47.8,33.2,158.6,1600,27.7
GM0957,Roermond,58763,966,69.8,43.8,31.2,63.7,6200,21.799999999999997
