gm,gemeente,party,votes
GM0148,Dalfsen,Staatkundig Gereformeerde Partij (SGP),432
GM0148,Dalfsen,VVD,1220
GM0148,Dalfsen,Volt,315
GM0150,Deventer,50PLUS,681
GM0150,Deventer,Alliantie,172
GM0150,Deventer,BBB,12985
GM0150,Deventer,Belang van Nederland (BVNL),282
GM0150,Deventer,CDA,2292
GM0150,Deventer,ChristenUnie,1584
GM0150,Deventer,D66,2928
GM0150,Deventer,Forum voor Democratie,1069
GM0150,Deventer,GROENLINKS,6398
GM0150,Deventer,JA21,1256
GM0150,Deventer,JEZUS LEEFT,23
GM0150,Deventer,PVV (Partij voor de Vrijheid),1606
GM0150,Deventer,Partij van de Arbeid (P.v.d.A.),4775
GM0150,Deventer,Partij voor de Dieren,3264
GM0150,Deventer,SP (Socialistische Partij),1955
GM0150,Deventer,Samen Lokaal Twente,217
GM0150,Deventer,Staatkundig Gereformeerde Partij (SGP),180
GM0150,Deventer,VVD,3998
GM0150,Deventer,Volt,2349
GM0153,Enschede,50PLUS,807
GM0153,Enschede,Alliantie,856
GM0153,Enschede,BBB,13056
GM0153,Enschede,Belang van Nederland (BVNL),584
GM0153,Enschede,CDA,3211
GM0153,Enschede,ChristenUnie,2517
GM0153,Enschede,D66,2881
GM0153,Enschede,Forum voor Democratie,2463
GM0153,Enschede,GROENLINKS,6423
GM0153,Enschede,JA21,2202
GM0153,Enschede,JEZUS LEEFT,70
GM0153,Enschede,PVV (Partij voor de Vrijheid),4344
GM0153,Enschede,Partij van de Arbeid (P.v.d.A.),6153
GM0153,Enschede,Partij voor de Dieren,2953
GM0153,Enschede,SP (Socialistische Partij),2594
GM0153,Enschede,Samen Lokaal Twente,2207
GM0153,Enschede,Staatkundig Gereformeerde Partij (SGP),349
GM0153,Enschede,VVD,5199
GM0153,Enschede,Volt,4061
GM0158,Haaksbergen,50PLUS,207
GM0158,Haaksbergen,Alliantie,90
GM0158,Haaksbergen,BBB,5565
GM0158,Haaksbergen,Belang van Nederland (BVNL),107
GM0158,Haaksbergen,CDA,1287
GM0158,Haaksbergen,ChristenUnie,253
GM0158,Haaksbergen,D66,434
GM0158,Haaksbergen,Forum voor Democratie,292
GM0158,Haaksbergen,GROENLINKS,620
GM0158,Haaksbergen,JA21,505
GM0158,Haaksbergen,JEZUS LEEFT,7
GM0158,Haaksbergen,PVV (Partij voor de Vrijheid),608
GM0158,Haaksbergen,Partij van de Arbeid (P.v.d.A.),846
GM0158,Haaksbergen,Partij voor de Dieren,314
GM0158,Haaksbergen,SP (Socialistische Partij),348
GM0158,Haaksbergen,Samen Lokaal Twente,258
GM0158,Haaksbergen,Staatkundig Gereformeerde Partij (SGP),23
GM0158,Haaksbergen,VVD,1171
GM0158,Haaksbergen,Volt,303
GM0160,Hardenberg,50PLUS,466
GM0160,Hardenberg,Alliantie,133
GM0160,Hardenberg,BBB,14850
GM0160,Hardenberg,Belang van Nederland (BVNL),283
GM0160,Hardenberg,CDA,3984
GM0160,Hardenberg,ChristenUnie,3374
GM0160,Hardenberg,D66,560
GM0160,Hardenberg,Forum voor Democratie,920
GM0160,Hardenberg,GROENLINKS,1176
GM0160,Hardenberg,JA21,1101
GM0160,Hardenberg,JEZUS LEEFT,47
GM0160,Hardenberg,PVV (Partij voor de Vrijheid),1624
GM0160,Hardenberg,Partij van de Arbeid (P.v.d.A.),1357
GM0160,Hardenberg,Partij voor de Dieren,706
GM0160,Hardenberg,SP (Socialistische Partij),645
GM0160,Hardenberg,Samen Lokaal Twente,174
GM0160,Hardenberg,Staatkundig Gereformeerde Partij (SGP),749
GM0160,Hardenberg,VVD,1827
GM0160,Hardenberg,Volt,459
GM0163,Hellendoorn,50PLUS,232
GM0163,Hellendoorn,Alliantie,132
GM0163,Hellendoorn,BBB,7358
GM0163,Hellendoorn,Belang van Nederland (BVNL),164
GM0163,Hellendoorn,CDA,2651
GM0163,Hellendoorn,ChristenUnie,998
GM0163,Hellendoorn,D66,508
