gm,gemeente,party,votes
GM0678,Kapelle,Partij van de Arbeid (P.v.d.A.) / GROENLINKS,759
GM0678,Kapelle,Partij voor Zeeland (PVZ),256
GM0678,Kapelle,Partij voor de Dieren,168
GM0678,Kapelle,SP (Socialistische Partij),153
GM0678,Kapelle,Staatkundig Gereformeerde Partij (SGP),1176
GM0678,Kapelle,VVD,706
GM0687,Middelburg,50PLUS,364
GM0687,Middelburg,"AWP voor water, klimaat en natuur",206
GM0687,Middelburg,BBB,2811
GM0687,Middelburg,Belang van Nederland (BVNL),180
GM0687,Middelburg,CDA,2169
GM0687,Middelburg,ChristenUnie,1498
GM0687,Middelburg,D66,1292
GM0687,Middelburg,Forum voor Democratie,696
GM0687,Middelburg,JA21,701
GM0687,Middelburg,PVV (Partij voor de Vrijheid),692
GM0687,Middelburg,Partij van de Arbeid (P.v.d.A.) / GROENLINKS,5311
GM0687,Middelburg,Partij voor Zeeland (PVZ),703
GM0687,Middelburg,Partij voor de Dieren,1189
GM0687,Middelburg,SP (Socialistische Partij),828
GM0687,Middelburg,Staatkundig Gereformeerde Partij (SGP),2446
GM0687,Middelburg,VVD,2009
GM0703,Reimerswaal,50PLUS,105
GM0703,Reimerswaal,"AWP voor water, klimaat en natuur",56
GM0703,Reimerswaal,BBB,2166
GM0703,Reimerswaal,Belang van Nederland (BVNL),77
GM0703,Reimerswaal,CDA,1159
GM0703,Reimerswaal,ChristenUnie,453
GM0703,Reimerswaal,D66,120
GM0703,Reimerswaal,Forum voor Democratie,277
GM0703,Reimerswaal,JA21,315
GM0703,Reimerswaal,PVV (Partij voor de Vrijheid),463
GM0703,Reimerswaal,Partij van de Arbeid (P.v.d.A.) / GROENLINKS,604
GM0703,Reimerswaal,Partij voor Zeeland (PVZ),519
GM0703,Reimerswaal,Partij voor de Dieren,132
GM0703,Reimerswaal,SP (Socialistische Partij),216
GM0703,Reimerswaal,Staatkundig Gereformeerde Partij (SGP),4458
GM0703,Reimerswaal,VVD,546
GM0715,Terneuzen,50PLUS,455
GM0715,Terneuzen,"AWP voor water, klimaat en natuur",189
GM0715,Terneuzen,BBB,4842
GM0715,Terneuzen,Belang van Nederland (BVNL),173
GM0715,Terneuzen,CDA,2634
GM0715,Terneuzen,ChristenUnie,955
GM0715,Terneuzen,D66,815
GM0715,Terneuzen,Forum voor Democratie,782
GM0715,Terneuzen,JA21,722
GM0715,Terneuzen,PVV (Partij voor de Vrijheid),2061
GM0715,Terneuzen,Partij van de Arbeid (P.v.d.A.) / GROENLINKS,2644
GM0715,Terneuzen,Partij voor Zeeland (PVZ),999
GM0715,Terneuzen,Partij voor de Dieren,544
GM0715,Terneuzen,SP (Socialistische Partij),823
GM0715,Terneuzen,Staatkundig Gereformeerde Partij (SGP),1259
GM0715,Terneuzen,VVD,1797
GM0716,Tholen,50PLUS,134
GM0716,Tholen,"AWP voor water, klimaat en natuur",70
GM0716,Tholen,BBB,3071
GM0716,Tholen,Belang van Nederland (BVNL),88
GM0716,Tholen,CDA,967
GM0716,Tholen,ChristenUnie,769
GM0716,Tholen,D66,185
GM0716,Tholen,Forum voor Democratie,377
GM0716,Tholen,JA21,464
GM0716,Tholen,PVV (Partij voor de Vrijheid),634
GM0716,Tholen,Partij van de Arbeid (P.v.d.A.) / GROENLINKS,841
GM0716,Tholen,Partij voor Zeeland (PVZ),463
GM0716,Tholen,Partij voor de Dieren,275
GM0716,Tholen,SP (Socialistische Partij),364
GM0716,Tholen,Staatkundig Gereformeerde Partij (SGP),3828
GM0716,Tholen,VVD,838
GM0717,Veere,50PLUS,133
GM0717,Veere,"AWP voor water, klimaat en natuur",102
GM0717,Veere,BBB,2190
GM0717,Veere,Belang van Nederland (BVNL),101
GM0717,Veere,CDA,1615
GM0717,Veere,ChristenUnie,648
GM0717,Veere,D66,535
GM0717,Veere,Forum voor Democratie,314
GM0717,Veere,JA21,382
GM0717,Veere,PVV (Partij voor de Vrijheid),323
GM0717,Veere,Partij van de Arbeid (P.v.d.A.) / GROENLINKS,1734
GM0717,Veere,Partij voor Zeeland (PVZ),476
GM0717,Veere,Partij voor de Dieren,448
GM0717,Veere,SP (Socialistische Partij),285
GM0717,Veere,Staatkundig Gereformeerde Partij (SGP),2285
GM0717,Veere,VVD,1409
GM0718,Vlissingen,50PLUS,530
GM0718,Vlissingen,"AWP voor water, klimaat en natuur",297
GM0718,Vlissingen,BBB,2605
GM0718,Vlissingen,Belang van Nederland (BVNL),279
GM0718,Vlissingen,CDA,1401
GM0718,Vlissingen,ChristenUnie,683
GM0718,Vlissingen,D66,940
GM0718,Vlissingen,Forum voor Democratie,718
GM0718,Vlissingen,JA21,704
GM0718,Vlissingen,PVV (Partij voor de Vrijheid),1078
GM0718,Vlissingen,Partij van de Arbeid (P.v.d.A.) / GROENLINKS,3155
GM0718,Vlissingen,Partij voor Zeeland (PVZ),964
GM0718,Vlissingen,Partij voor de Dieren,838
GM0718,Vlissingen,SP (Socialistische Partij),862
GM0718,Vlissingen,Staatkundig Gereformeerde Partij (SGP),593
GM0718,Vlissingen,VVD,1724
GM0736,De Ronde Venen,50PLUS,554
GM0736,De Ronde Venen,BBB,5366
GM0736,De Ronde Venen,Belang van Nederland (BVNL),246
GM0736,De Ronde Venen,CDA,2216
GM0736,De Ronde Venen,ChristenUnie,764
GM0736,De Ronde Venen,D66,1707
GM0736,De Ronde Venen,DENK,128
GM0736,De Ronde Venen,Forum voor Democratie,605
GM0736,De Ronde Venen,GROENLINKS,1617
GM0736,De Ronde Venen,JA21,1364
GM0736,De Ronde Venen,PVV (Partij voor de Vrijheid),1033
GM0736,De Ronde Venen,Partij van de Arbeid (P.v.d.A.),1134
GM0736,De Ronde Venen,Partij voor de Dieren,799
GM0736,De Ronde Venen,SP (Socialistische Partij),421
GM0736,De Ronde Venen,Staatkundig Gereformeerde Partij (SGP),472
GM0736,De Ronde Venen,U26 GEMEENTEN,344
GM0736,De Ronde Venen,VVD,3841
GM0736,De Ronde Venen,Volt,537
GM0736,De Ronde Venen,ZWARTE PIET IS ZWART,21
GM0737,Tytsjerksteradiel,50PLUS,163
GM0737,Tytsjerksteradiel,"AWP voor Water, Klimaat en Natuur",80
GM0737,Tytsjerksteradiel,BBB,4677
GM0737,Tytsjerksteradiel,Belang van Nederland (BVNL),715
GM0737,Tytsjerksteradiel,CDA,1902
GM0737,Tytsjerksteradiel,ChristenUnie,1100
GM0737,Tytsjerksteradiel,D66,488
GM0737,Tytsjerksteradiel,FNP,1992
GM0737,Tytsjerksteradiel,Forum voor Democratie,532
GM0737,Tytsjerksteradiel,GROENLINKS,1043
GM0737,Tytsjerksteradiel,JA21,451
GM0737,Tytsjerksteradiel,PVV (Partij voor de Vrijheid),736
GM0737,Tytsjerksteradiel,Partij van de Arbeid (P.v.d.A.),1684
GM0737,Tytsjerksteradiel,Partij voor de Dieren,498
GM0737,Tytsjerksteradiel,Provinciaal Belang Fryslân,243
GM0737,Tytsjerksteradiel,SP (Socialistische Partij),561
GM0737,Tytsjerksteradiel,VVD,964
GM0743,Asten,50PLUS,232
GM0743,Asten,"AWP voor water, klimaat en natuur",37
GM0743,Asten,Alliantie,58
GM0743,Asten,BBB,2324
GM0743,Asten,Belang van Nederland (BVNL),73
GM0743,Asten,CDA,713
GM0743,Asten,ChristenUnie-SGP,22
GM0743,Asten,D66,421
GM0743,Asten,Forum voor Democratie,217
GM0743,Asten,GROENLINKS,395
GM0743,Asten,JA21,413
GM0743,Asten,JEZUS LEEFT,5
GM0743,Asten,Lokaal Brabant,247
GM0743,Asten,Ouderen Appèl - Hart voor Brabant,49
GM0743,Asten,PVV (Partij voor de Vrijheid),505
GM0743,Asten,Partij van de Arbeid (P.v.d.A.),462
GM0743,Asten,Partij voor de Dieren,217
GM0743,Asten,SP (Socialistische Partij),547
GM0743,Asten,VVD,1166
GM0743,Asten,Volt,159
GM0744,Baarle-Nassau,50PLUS,60
GM0744,Baarle-Nassau,"AWP voor water, klimaat en natuur",4
GM0744,Baarle-Nassau,Alliantie,19
GM0744,Baarle-Nassau,BBB,1317
GM0744,Baarle-Nassau,Belang van Nederland (BVNL),24
GM0744,Baarle-Nassau,CDA,252
GM0744,Baarle-Nassau,ChristenUnie-SGP,19
GM0744,Baarle-Nassau,D66,115
GM0744,Baarle-Nassau,Forum voor Democratie,103
GM0744,Baarle-Nassau,GROENLINKS,134
GM0744,Baarle-Nassau,JA21,118
GM0744,Baarle-Nassau,JEZUS LEEFT,2
GM0744,Baarle-Nassau,Lokaal Brabant,141
GM0744,Baarle-Nassau,Ouderen Appèl - Hart voor Brabant,8
GM0744,Baarle-Nassau,PVV (Partij voor de Vrijheid),243
GM0744,Baarle-Nassau,Partij van de Arbeid (P.v.d.A.),153
GM0744,Baarle-Nassau,Partij voor de Dieren,113
GM0744,Baarle-Nassau,SP (Socialistische Partij),169
GM0744,Baarle-Nassau,VVD,343
GM0744,Baarle-Nassau,Volt,44
GM0748,Bergen op Zoom,50PLUS,984
GM0748,Bergen op Zoom,"AWP voor water, klimaat en natuur",98
GM0748,Bergen op Zoom,Alliantie,95
GM0748,Bergen op Zoom,BBB,3800
GM0748,Bergen op Zoom,Belang van Nederland (BVNL),421
GM0748,Bergen op Zoom,CDA,1486
GM0748,Bergen op Zoom,ChristenUnie-SGP,285
GM0748,Bergen op Zoom,D66,1727
GM0748,Bergen op Zoom,Forum voor Democratie,732
GM0748,Bergen op Zoom,GROENLINKS,1731
GM0748,Bergen op Zoom,JA21,1239
GM0748,Bergen op Zoom,JEZUS LEEFT,29
GM0748,Bergen op Zoom,Lokaal Brabant,1165
GM0748,Bergen op Zoom,Ouderen Appèl - Hart voor Brabant,61
GM0748,Bergen op Zoom,PVV (Partij voor de Vrijheid),2325
GM0748,Bergen op Zoom,Partij van de Arbeid (P.v.d.A.),2014
GM0748,Bergen op Zoom,Partij voor de Dieren,915
GM0748,Bergen op Zoom,SP (Socialistische Partij),1771
GM0748,Bergen op Zoom,VVD,4123
GM0748,Bergen op Zoom,Volt,533
GM0753,Best,50PLUS,382
GM0753,Best,"AWP voor water, klimaat en natuur",71
GM0753,Best,Alliantie,112
GM0753,Best,BBB,2145
GM0753,Best,Belang van Nederland (BVNL),108
GM0753,Best,CDA,859
GM0753,Best,ChristenUnie-SGP,384
GM0753,Best,D66,1059
GM0753,Best,Forum voor Democratie,372
GM0753,Best,GROENLINKS,879
GM0753,Best,JA21,599
GM0753,Best,JEZUS LEEFT,6
GM0753,Best,Lokaal Brabant,493
GM0753,Best,Ouderen Appèl - Hart voor Brabant,65
GM0753,Best,PVV (Partij voor de Vrijheid),895
GM0753,Best,Partij van de Arbeid (P.v.d.A.),1035
GM0753,Best,Partij voor de Dieren,419
GM0753,Best,SP (Socialistische Partij),940
GM0753,Best,VVD,2198
GM0753,Best,Volt,402
GM0755,Boekel,50PLUS,141
GM0755,Boekel,"AWP voor water, klimaat en natuur",27
GM0755,Boekel,Alliantie,27
GM0755,Boekel,BBB,1792
GM0755,Boekel,Belang van Nederland (BVNL),64
GM0755,Boekel,CDA,503
GM0755,Boekel,ChristenUnie-SGP,21
GM0755,Boekel,D66,197
GM0755,Boekel,Forum voor Democratie,114
GM0755,Boekel,GROENLINKS,208
GM0755,Boekel,JA21,223
GM0755,Boekel,JEZUS LEEFT,2
GM0755,Boekel,Lokaal Brabant,306
GM0755,Boekel,Ouderen Appèl - Hart voor Brabant,22
GM0755,Boekel,PVV (Partij voor de Vrijheid),340
GM0755,Boekel,Partij van de Arbeid (P.v.d.A.),252
GM0755,Boekel,Partij voor de Dieren,99
GM0755,Boekel,SP (Socialistische Partij),393
GM0755,Boekel,VVD,630
GM0755,Boekel,Volt,88
GM0757,Boxtel,50PLUS,277
GM0757,Boxtel,"AWP voor water, klimaat en natuur",71
GM0757,Boxtel,Alliantie,276
GM0757,Boxtel,BBB,2776
GM0757,Boxtel,Belang van Nederland (BVNL),108
GM0757,Boxtel,CDA,850
GM0757,Boxtel,ChristenUnie-SGP,94
GM0757,Boxtel,D66,1257
GM0757,Boxtel,Forum voor Democratie,372
GM0757,Boxtel,GROENLINKS,1291
GM0757,Boxtel,JA21,516
GM0757,Boxtel,JEZUS LEEFT,10
GM0757,Boxtel,Lokaal Brabant,503
GM0757,Boxtel,Ouderen Appèl - Hart voor Brabant,40
GM0757,Boxtel,PVV (Partij voor de Vrijheid),792
GM0757,Boxtel,Partij van de Arbeid (P.v.d.A.),1154
GM0757,Boxtel,Partij voor de Dieren,577
GM0757,Boxtel,SP (Socialistische Partij),1198
GM0757,Boxtel,VVD,1843
GM0757,Boxtel,Volt,384
GM0758,Breda,50PLUS,1753
GM0758,Breda,"AWP voor water, klimaat en natuur",290
GM0758,Breda,Alliantie,347
GM0758,Breda,BBB,7969
GM0758,Breda,Belang van Nederland (BVNL),714
GM0758,Breda,CDA,3899
GM0758,Breda,ChristenUnie-SGP,710
GM0758,Breda,D66,7388
GM0758,Breda,Forum voor Democratie,2199
GM0758,Breda,GROENLINKS,8194
GM0758,Breda,JA21,3130
GM0758,Breda,JEZUS LEEFT,59
GM0758,Breda,Lokaal Brabant,2765
GM0758,Breda,Ouderen Appèl - Hart voor Brabant,161
GM0758,Breda,PVV (Partij voor de Vrijheid),3865
GM0758,Breda,Partij van de Arbeid (P.v.d.A.),7411
GM0758,Breda,Partij voor de Dieren,4080
GM0758,Breda,SP (Socialistische Partij),5179
GM0758,Breda,VVD,13273
GM0758,Breda,Volt,3184
GM0762,Deurne,50PLUS,550
GM0762,Deurne,"AWP voor water, klimaat en natuur",114
GM0762,Deurne,Alliantie,116
GM0762,Deurne,BBB,4829
GM0762,Deurne,Belang van Nederland (BVNL),106
GM0762,Deurne,CDA,967
GM0762,Deurne,ChristenUnie-SGP,89
GM0762,Deurne,D66,817
GM0762,Deurne,Forum voor Democratie,389
GM0762,Deurne,GROENLINKS,862
GM0762,Deurne,JA21,623
GM0762,Deurne,JEZUS LEEFT,7
GM0762,Deurne,Lokaal Brabant,429
GM0762,Deurne,Ouderen Appèl - Hart voor Brabant,62
GM0762,Deurne,PVV (Partij voor de Vrijheid),920
GM0762,Deurne,Partij van de Arbeid (P.v.d.A.),881
GM0762,Deurne,Partij voor de Dieren,408
GM0762,Deurne,SP (Socialistische Partij),1028
GM0762,Deurne,VVD,1890
GM0762,Deurne,Volt,257
GM0765,Pekela,50PLUS,79
GM0765,Pekela,BBB,1914
GM0765,Pekela,Belang van Nederland (BVNL),44
GM0765,Pekela,CDA,210
GM0765,Pekela,ChristenUnie,158
GM0765,Pekela,D66,65
GM0765,Pekela,Forum voor Democratie,182
GM0765,Pekela,GROENLINKS,199
GM0765,Pekela,Groninger Belang,431
GM0765,Pekela,JA21,73
GM0765,Pekela,JEZUS LEEFT,4
GM0765,Pekela,PVV (Partij voor de Vrijheid),644
GM0765,Pekela,Partij van de Arbeid (P.v.d.A.),388
GM0765,Pekela,Partij voor de Dieren,121
GM0765,Pekela,Partij voor het Noorden,107
GM0765,Pekela,SP (Socialistische Partij),410
GM0765,Pekela,Staatkundig Gereformeerde Partij (SGP),89
GM0765,Pekela,VVD,181
GM0765,Pekela,Volt,39
GM0766,Dongen,50PLUS,282
GM0766,Dongen,"AWP voor water, klimaat en natuur",50
GM0766,Dongen,Alliantie,45
GM0766,Dongen,BBB,2211
GM0766,Dongen,Belang van Nederland (BVNL),106
GM0766,Dongen,CDA,922
GM0766,Dongen,ChristenUnie-SGP,176
GM0766,Dongen,D66,759
GM0766,Dongen,Forum voor Democratie,287
GM0766,Dongen,GROENLINKS,708
GM0766,Dongen,JA21,496
GM0766,Dongen,JEZUS LEEFT,9
GM0766,Dongen,Lokaal Brabant,512
GM0766,Dongen,Ouderen Appèl - Hart voor Brabant,40
GM0766,Dongen,PVV (Partij voor de Vrijheid),730
GM0766,Dongen,Partij van de Arbeid (P.v.d.A.),875
GM0766,Dongen,Partij voor de Dieren,372
GM0766,Dongen,SP (Socialistische Partij),744
GM0766,Dongen,VVD,1777
GM0766,Dongen,Volt,213
GM0770,Eersel,50PLUS,219
GM0770,Eersel,"AWP voor water, klimaat en natuur",41
GM0770,Eersel,Alliantie,63
GM0770,Eersel,BBB,2299
GM0770,Eersel,Belang van Nederland (BVNL),71
GM0770,Eersel,CDA,860
GM0770,Eersel,ChristenUnie-SGP,86
GM0770,Eersel,D66,563
GM0770,Eersel,Forum voor Democratie,197
GM0770,Eersel,GROENLINKS,788
GM0770,Eersel,JA21,329
GM0770,Eersel,JEZUS LEEFT,5
GM0770,Eersel,Lokaal Brabant,451
GM0770,Eersel,Ouderen Appèl - Hart voor Brabant,44
GM0770,Eersel,PVV (Partij voor de Vrijheid),431
GM0770,Eersel,Partij van de Arbeid (P.v.d.A.),525
GM0770,Eersel,Partij voor de Dieren,290
GM0770,Eersel,SP (Socialistische Partij),585
GM0770,Eersel,VVD,1373
GM0770,Eersel,Volt,378
GM0772,Eindhoven,50PLUS,1755
GM0772,Eindhoven,"AWP voor water, klimaat en natuur",366
GM0772,Eindhoven,Alliantie,360
GM0772,Eindhoven,BBB,6800
GM0772,Eindhoven,Belang van Nederland (BVNL),687
GM0772,Eindhoven,CDA,3510
GM0772,Eindhoven,ChristenUnie-SGP,1269
GM0772,Eindhoven,D66,7327
GM0772,Eindhoven,Forum voor Democratie,2553
GM0772,Eindhoven,GROENLINKS,11144
GM0772,Eindhoven,JA21,2717
GM0772,Eindhoven,JEZUS LEEFT,97
GM0772,Eindhoven,Lokaal Brabant,2184
GM0772,Eindhoven,Ouderen Appèl - Hart voor Brabant,633
GM0772,Eindhoven,PVV (Partij voor de Vrijheid),4781
GM0772,Eindhoven,Partij van de Arbeid (P.v.d.A.),8831
GM0772,Eindhoven,Partij voor de Dieren,4714
GM0772,Eindhoven,SP (Socialistische Partij),6694
GM0772,Eindhoven,VVD,9716
GM0772,Eindhoven,Volt,5114
GM0777,Etten-Leur,50PLUS,462
GM0777,Etten-Leur,"AWP voor water, klimaat en natuur",78
GM0777,Etten-Leur,Alliantie,88
GM0777,Etten-Leur,BBB,3290
GM0777,Etten-Leur,Belang van Nederland (BVNL),167
GM0777,Etten-Leur,CDA,1805
GM0777,Etten-Leur,ChristenUnie-SGP,179
GM0777,Etten-Leur,D66,950
GM0777,Etten-Leur,Forum voor Democratie,554
GM0777,Etten-Leur,GROENLINKS,1226
GM0777,Etten-Leur,JA21,851
GM0777,Etten-Leur,JEZUS LEEFT,16
GM0777,Etten-Leur,Lokaal Brabant,1031
GM0777,Etten-Leur,Ouderen Appèl - Hart voor Brabant,54
GM0777,Etten-Leur,PVV (Partij voor de Vrijheid),1251
GM0777,Etten-Leur,Partij van de Arbeid (P.v.d.A.),1367
GM0777,Etten-Leur,Partij voor de Dieren,508
GM0777,Etten-Leur,SP (Socialistische Partij),1224
GM0777,Etten-Leur,VVD,2659
GM0777,Etten-Leur,Volt,361
GM0779,Geertruidenberg,50PLUS,258
GM0779,Geertruidenberg,"AWP voor water, klimaat en natuur",101
GM0779,Geertruidenberg,Alliantie,56
GM0779,Geertruidenberg,BBB,2013
GM0779,Geertruidenberg,Belang van Nederland (BVNL),88
GM0779,Geertruidenberg,CDA,565
GM0779,Geertruidenberg,ChristenUnie-SGP,101
GM0779,Geertruidenberg,D66,337
GM0779,Geertruidenberg,Forum voor Democratie,297
GM0779,Geertruidenberg,GROENLINKS,425
GM0779,Geertruidenberg,JA21,425
GM0779,Geertruidenberg,JEZUS LEEFT,8
GM0779,Geertruidenberg,Lokaal Brabant,425
GM0779,Geertruidenberg,Ouderen Appèl - Hart voor Brabant,50
GM0779,Geertruidenberg,PVV (Partij voor de Vrijheid),918
GM0779,Geertruidenberg,Partij van de Arbeid (P.v.d.A.),667
GM0779,Geertruidenberg,Partij voor de Dieren,255
GM0779,Geertruidenberg,SP (Socialistische Partij),690
GM0779,Geertruidenberg,VVD,1374
GM0779,Geertruidenberg,Volt,133
GM0784,Gilze en Rijen,50PLUS,374
GM0784,Gilze en Rijen,"AWP voor water, klimaat en natuur",51
GM0784,Gilze en Rijen,Alliantie,66
GM0784,Gilze en Rijen,BBB,2418
GM0784,Gilze en Rijen,Belang van Nederland (BVNL),106
GM0784,Gilze en Rijen,CDA,613
GM0784,Gilze en Rijen,ChristenUnie-SGP,68
GM0784,Gilze en Rijen,D66,670
GM0784,Gilze en Rijen,Forum voor Democratie,306
GM0784,Gilze en Rijen,GROENLINKS,733
GM0784,Gilze en Rijen,JA21,498
GM0784,Gilze en Rijen,JEZUS LEEFT,12
GM0784,Gilze en Rijen,Lokaal Brabant,568
GM0784,Gilze en Rijen,Ouderen Appèl - Hart voor Brabant,35
GM0784,Gilze en Rijen,PVV (Partij voor de Vrijheid),818
GM0784,Gilze en Rijen,Partij van de Arbeid (P.v.d.A.),913
GM0784,Gilze en Rijen,Partij voor de Dieren,402
GM0784,Gilze en Rijen,SP (Socialistische Partij),795
GM0784,Gilze en Rijen,VVD,1646
GM0784,Gilze en Rijen,Volt,271
GM0785,Goirle,50PLUS,265
GM0785,Goirle,"AWP voor water, klimaat en natuur",54
GM0785,Goirle,Alliantie,112
GM0785,Goirle,BBB,1662
GM0785,Goirle,Belang van Nederland (BVNL),107
GM0785,Goirle,CDA,606
GM0785,Goirle,ChristenUnie-SGP,72
GM0785,Goirle,D66,924
GM0785,Goirle,Forum voor Democratie,215
GM0785,Goirle,GROENLINKS,906
GM0785,Goirle,JA21,470
GM0785,Goirle,JEZUS LEEFT,6
GM0785,Goirle,Lokaal Brabant,454
GM0785,Goirle,Ouderen Appèl - Hart voor Brabant,32
GM0785,Goirle,PVV (Partij voor de Vrijheid),611
GM0785,Goirle,Partij van de Arbeid (P.v.d.A.),1064
GM0785,Goirle,Partij voor de Dieren,532
GM0785,Goirle,SP (Socialistische Partij),809
GM0785,Goirle,VVD,1683
GM0785,Goirle,Volt,287
GM0794,Helmond,50PLUS,1255
GM0794,Helmond,"AWP voor water, klimaat en natuur",136
GM0794,Helmond,Alliantie,224
GM0794,Helmond,BBB,4864
GM0794,Helmond,Belang van Nederland (BVNL),288
GM0794,Helmond,CDA,1764
GM0794,Helmond,ChristenUnie-SGP,260
GM0794,Helmond,D66,1654
GM0794,Helmond,Forum voor Democratie,1441
GM0794,Helmond,GROENLINKS,2539
GM0794,Helmond,JA21,1424
GM0794,Helmond,JEZUS LEEFT,25
GM0794,Helmond,Lokaal Brabant,916
GM0794,Helmond,Ouderen Appèl - Hart voor Brabant,124
GM0794,Helmond,PVV (Partij voor de Vrijheid),3584
GM0794,Helmond,Partij van de Arbeid (P.v.d.A.),2444
GM0794,Helmond,Partij voor de Dieren,1038
GM0794,Helmond,SP (Socialistische Partij),3085
GM0794,Helmond,VVD,4723
GM0794,Helmond,Volt,743
GM0796,'s-Hertogenbosch,50PLUS,1507
GM0796,'s-Hertogenbosch,"AWP voor water, klimaat en natuur",270
GM0796,'s-Hertogenbosch,Alliantie,401
GM0796,'s-Hertogenbosch,BBB,7576
GM0796,'s-Hertogenbosch,Belang van Nederland (BVNL),456
GM0796,'s-Hertogenbosch,CDA,3043
GM0796,'s-Hertogenbosch,ChristenUnie-SGP,580
GM0796,'s-Hertogenbosch,D66,6700
GM0796,'s-Hertogenbosch,Forum voor Democratie,1858
GM0796,'s-Hertogenbosch,GROENLINKS,7785
GM0796,'s-Hertogenbosch,JA21,2812
GM0796,'s-Hertogenbosch,JEZUS LEEFT,57
GM0796,'s-Hertogenbosch,Lokaal Brabant,2709
GM0796,'s-Hertogenbosch,Ouderen Appèl - Hart voor Brabant,159
GM0796,'s-Hertogenbosch,PVV (Partij voor de Vrijheid),4653
GM0796,'s-Hertogenbosch,Partij van de Arbeid (P.v.d.A.),6397
GM0796,'s-Hertogenbosch,Partij voor de Dieren,3638
GM0796,'s-Hertogenbosch,SP (Socialistische Partij),5802
GM0796,'s-Hertogenbosch,VVD,9304
GM0796,'s-Hertogenbosch,Volt,3200
GM0797,Heusden,50PLUS,530
GM0797,Heusden,"AWP voor water, klimaat en natuur",116
GM0797,Heusden,Alliantie,138
GM0797,Heusden,BBB,4102
GM0797,Heusden,Belang van Nederland (BVNL),156
GM0797,Heusden,CDA,1794
GM0797,Heusden,ChristenUnie-SGP,249
GM0797,Heusden,D66,1212
GM0797,Heusden,Forum voor Democratie,534
GM0797,Heusden,GROENLINKS,1093
GM0797,Heusden,JA21,896
GM0797,Heusden,JEZUS LEEFT,18
GM0797,Heusden,Lokaal Brabant,1025
GM0797,Heusden,Ouderen Appèl - Hart voor Brabant,58
GM0797,Heusden,PVV (Partij voor de Vrijheid),1336
GM0797,Heusden,Partij van de Arbeid (P.v.d.A.),1300
GM0797,Heusden,Partij voor de Dieren,655
GM0797,Heusden,SP (Socialistische Partij),1464
GM0797,Heusden,VVD,2996
GM0797,Heusden,Volt,406
GM0798,Hilvarenbeek,50PLUS,218
GM0798,Hilvarenbeek,"AWP voor water, klimaat en natuur",36
GM0798,Hilvarenbeek,Alliantie,87
GM0798,Hilvarenbeek,BBB,2222
GM0798,Hilvarenbeek,Belang van Nederland (BVNL),55
GM0798,Hilvarenbeek,CDA,594
GM0798,Hilvarenbeek,ChristenUnie-SGP,53
GM0798,Hilvarenbeek,D66,527
GM0798,Hilvarenbeek,Forum voor Democratie,128
GM0798,Hilvarenbeek,GROENLINKS,543
GM0798,Hilvarenbeek,JA21,322
GM0798,Hilvarenbeek,JEZUS LEEFT,3
GM0798,Hilvarenbeek,Lokaal Brabant,290
GM0798,Hilvarenbeek,Ouderen Appèl - Hart voor Brabant,27
GM0798,Hilvarenbeek,PVV (Partij voor de Vrijheid),368
GM0798,Hilvarenbeek,Partij van de Arbeid (P.v.d.A.),603
GM0798,Hilvarenbeek,Partij voor de Dieren,318
GM0798,Hilvarenbeek,SP (Socialistische Partij),579
GM0798,Hilvarenbeek,VVD,1325
GM0798,Hilvarenbeek,Volt,195
GM0809,Loon op Zand,50PLUS,311
GM0809,Loon op Zand,"AWP voor water, klimaat en natuur",29
GM0809,Loon op Zand,Alliantie,166
GM0809,Loon op Zand,BBB,2102
GM0809,Loon op Zand,Belang van Nederland (BVNL),82
GM0809,Loon op Zand,CDA,651
GM0809,Loon op Zand,ChristenUnie-SGP,165
GM0809,Loon op Zand,D66,542
GM0809,Loon op Zand,Forum voor Democratie,293
GM0809,Loon op Zand,GROENLINKS,554
GM0809,Loon op Zand,JA21,535
GM0809,Loon op Zand,JEZUS LEEFT,6
GM0809,Loon op Zand,Lokaal Brabant,619
GM0809,Loon op Zand,Ouderen Appèl - Hart voor Brabant,33
GM0809,Loon op Zand,PVV (Partij voor de Vrijheid),862
GM0809,Loon op Zand,Partij van de Arbeid (P.v.d.A.),712
GM0809,Loon op Zand,Partij voor de Dieren,326
GM0809,Loon op Zand,SP (Socialistische Partij),793
GM0809,Loon op Zand,VVD,1611
GM0809,Loon op Zand,Volt,197
GM0820,"Nuenen, Gerwen en Nederwetten",50PLUS,256
GM0820,"Nuenen, Gerwen en Nederwetten","AWP voor water, klimaat en natuur",81
GM0820,"Nuenen, Gerwen en Nederwetten",Alliantie,58
GM0820,"Nuenen, Gerwen en Nederwetten",BBB,1446
GM0820,"Nuenen, Gerwen en Nederwetten",Belang van Nederland (BVNL),103
GM0820,"Nuenen, Gerwen en Nederwetten",CDA,869
GM0820,"Nuenen, Gerwen en Nederwetten",ChristenUnie-SGP,150
GM0820,"Nuenen, Gerwen en Nederwetten",D66,1231
GM0820,"Nuenen, Gerwen en Nederwetten",Forum voor Democratie,281
GM0820,"Nuenen, Gerwen en Nederwetten",GROENLINKS,1125
GM0820,"Nuenen, Gerwen en Nederwetten",JA21,451
GM0820,"Nuenen, Gerwen en Nederwetten",JEZUS LEEFT,9
GM0820,"Nuenen, Gerwen en Nederwetten",Lokaal Brabant,387
